Products,Reactant,Sentence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zinc sulfate,zinc oxide,"specific reactions the reaction of the metal with aqueous sulfuric acid:
zn + h2so4 + 7 h2o ??? znso4(h2o)7 + h2
pharmaceutical grade zinc sulfate is produced by treating high purity zinc oxide with sulfuric acid:
zno + h2so4 + 6 h2o ??? znso4(h2o)7
in aqueous solution, all forms of zinc sulfate behave identically.","when heated over 680 c, zinc sulfate decomposes into sulfur dioxide gas and zinc oxide fume, both of which are hazardous.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
thiophosphoryl chloride,phophorus trichloride,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
guanidine nitrate,2-cyanoguanidine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
azobenzene,nitrobenzene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2,2-dibromo-2-cyanoacetamide",2-cyanoacetamide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dicyandiamide,calcium cyanamide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-chlorotoluene,toluene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diethyl ether,ethylene,"== production ==
most diethyl ether is produced as a byproduct of the vapor-phase hydration of ethylene to make ethanol.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acetoacetic acid,ethyl acetoacetate,acetoacetic acid can be prepared by the hydrolysis of the ethyl acetoacetate followed by acidification of the anion.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-propanethiol,propanol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3-bromo-1-propene,hydrogen bromide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
allylamine,allyl chloride,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acetyl chloride,acetic anhydride,"acetyl chloride mixed with acetic acid is produced by the reaction of acetic anhydride with hydrogen chloride:
(ch3co)2o + hcl ??? ch3cocl + ch3co2h


=== laboratory route ===
acetyl chloride is produced in the laboratory by the reaction of acetic acid with chlorodehydrating agents such as pcl3, pcl5, so2cl2, or socl2.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sodium nitrate,sodium hydroxide,"sodium nitrate is also synthesized industrially by neutralizing nitric acid with sodium carbonate or sodium bicarbonate:
2 hno3 + na2co3 ??? 2 nano3 + h2o + co2
hno3 + nahco3 ??? nano3 + h2o + co2
or also by neutralizing it with sodium hydroxide (however, this reaction is very exothermic):
hno3 + naoh ??? nano3 + h2o
or by mixing stoichiometric amounts of ammonium nitrate and sodium hydroxide, sodium bicarbonate or sodium carbonate:
nh4no3 + naoh ??? nano3 + nh4oh
nh4no3 + nahco3 ??? nano3 + nh4hco3
2nh4no3 + na2co3 ??? 2nano3 + (nh4)2co3


== applications ==
sodium nitrate was used extensively as a fertilizer and a raw material for the manufacture of gunpowder in the late 19th century.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sodium nitrite,nitrogen dioxide,"above 330 ??c sodium nitrite decomposes (in air) to sodium oxide, nitric oxide and nitrogen dioxide.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trimethylamine,methanol,"== production ==
trimethylamine is prepared by the reaction of ammonia and methanol employing a catalyst:
3 ch3oh + nh3 ??? (ch3)3n + 3 h2o
this reaction coproduces the other methylamines, dimethylamine (ch3)2nh and methylamine ch3nh2.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trichloroacetic acid,acetic acid,trichloroacetic acid (tca; tcaa; also known as trichloroethanoic acid) is an analogue of acetic acid in which the three hydrogen atoms of the methyl group have all been replaced by chlorine atoms.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zinc sulfide,barium sulfide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sodium formate,sodium hydroxide,"for commercial use, sodium formate is produced by absorbing carbon monoxide under pressure in solid sodium hydroxide at 160 ??c.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-pyridinol,pyridine n-oxide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pyrazole,malondialdehyde tetrabutylammonium salt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sodium phenolate,phenol,"anhydrous derivatives can be prepared from phenol and sodium:
na + hoc6h5 ??? naoc6h5 + 1/2 h2
like other sodium alkoxides, crystalline sodium phenolate adopts a complex structures involving multiple na-o bonds.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cyanoacetic acid,sodium chloroacetate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hexachloroethane,chlorine gas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
potassium hydrogen difluoride,potassium hydroxide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
phosphorus triiodide,white phosphorus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maleic acid,maleic anhydride,"it is mainly used as a precursor to fumaric acid, and relative to its parent maleic anhydride, maleic acid has few applications.","== production and industrial applications ==
in industry, maleic acid is derived by hydrolysis of maleic anhydride, the latter being produced by oxidation of benzene or butane.","== other reactions ==
although not practised commercially, maleic acid can be converted into maleic anhydride by dehydration, to malic acid by hydration, and to succinic acid by hydrogenation (ethanol / palladium on carbon).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
potassium monoxide,potassium peroxide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sodium iodate,iodic acid,sodium iodate (naio3) is the sodium salt of iodic acid.,"== preparation ==
it can be prepared by reacting a sodium-containing base such as sodium hydroxide with iodic acid, for example:
hio3 + naoh ??? naio3 + h2o
it can also be prepared by adding iodine to a hot, concentrated solution of sodium hydroxide or it",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sodium perchlorate,sodium chlorate,"== production ==
sodium perchlorate is produced by anodic oxidation of sodium chlorate at an inert electrode, such as platinum.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tetraphosphorus decasulfide,iron phosphide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ethyl chloroacetate,chloroacetic acid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
thioglycolic acid,chloroacetic acid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
thionyl chloride,sulfur trioxide,"== production ==
the major industrial synthesis involves the reaction of sulfur trioxide and sulfur dichloride:
so3 + scl2 ??? socl2 + so2
other methods include syntheses from phosphorus pentachloride, chlorine and sulfur dichloride, or phosgene:
so2 + pc",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
thiophene,carbon disulfide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
thioacetic acid,hydrogen sulfide,"it is used in organic synthesis for the introduction of thiol groups in molecules


== synthesis and properties ==
thioacetic acid is prepared by the reaction of acetic anhydride with hydrogen sulfide:
(ch3c(o))2o + h2s ??? ch3c(o)sh + ch3co2h
it has also been produced by the action of phosphorus pentasulfide on glacial acetic acid, followed by distillation.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
triethylene glycol,ethylene oxide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tamoxifen,"(ez)-1-(4-hydroxyphenyl)-1,2-diphenylbut-1-ene",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diethyl malonate,sodium chloroacetate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p-tolualdehyde,toluene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sulfur hexafluoride,sulfur,"sulfur hexafluoride (sf6) is an inorganic, colorless, odorless, non-flammable, extremely potent greenhouse gas, which is an excellent electrical insulator.",sulfur hexafluoride microbubbles are administered in solution through injection into a peripheral vein.,"=== tracer compound ===
sulfur hexafluoride was the tracer gas used in the first roadway air dispersion model calibration; this research program was sponsored by the u.s. environmental protection agency and conducted in sunnyvale, california on u.s. highw","sulfur hexafluoride was used as a non-toxic test gas in an experiment at st. john's wood tube station in london, united kingdom on 25 march 2007.",sulfur hexafluoride is also routinely used as a tracer gas in laboratory fume hood containment testing.,"=== other uses ===
the united states navy's mark 50 torpedo closed rankine-cycle propulsion system is powered by sulfur hexafluoride in an exothermic reaction with solid lithium.","sulfur hexafluoride is also extremely long-lived, is inert in the troposphere and stratosphere and has an estimated atmospheric lifetime of 800?€?3200 years.","== physiological effects and precautions ==
like xenon, sulfur hexafluoride is a non-toxic gas, yet by displacing oxygen in the lungs, it also carries the risk of asphyxia if too much is inhaled.",the density of sulfur hexafluoride is relatively high at room temperature and pressure due to the gas's large molar mass.,sulfur hexafluoride has an anesthetic potency slightly lower than nitrous oxide.,"== other properties ==
thermal conductivity at stp (101.3 kpa and 0 ??c) = 12.058 mw/(m??k)
heat capacity at constant pressure (cp) (101.3 kpa and 21 ??c) = 0.097 kj/(mol??k)
critical temperature: 45.5 ??c
critical pressure: 37.59 bar (3.759 mpa)


== see",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sodium thiocyanate,carbon disulfide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
calcium fluoride,hexafluorosilicic acid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cyanogen chloride,hydrogen cyanide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ammonium nitrite,ammonia,"ammonium nitrite, nh4no2, is the ammonia salt of nitrous acid.","== preparation ==
ammonium nitrite forms naturally in the air and can be prepared by the absorption of equal parts nitrogen dioxide and nitric oxide in aqueous ammonia.",the mole ratio of ammonium nitrite to ammonia must be above 10%.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sodium sulfate,sodium chromate,"2nahco3 + mgso4 ??? na2so4 + mg(oh)2 + 2co2
formerly, sodium sulfate was also a by-product of the manufacture of sodium dichromate, where sulfuric acid is added to sodium chromate solution forming sodium dichromate, or subsequently chromic acid.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dicyclohexylamine,cyclohexanone,"dicyclohexylamine may also be prepared by pressure hydrogenation of diphenylamine using a ruthenium catalyst, or by the reaction of cyclohexanone with cyclohexylamine in the presence of a palladium/carbon catalyst under a hydrogen pressure of about 4 mm hg.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
carbon disulfide,methane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sodium iodide,sodium hydroxide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
propionitrile,acrylonitrile,"it is also prepared by the ammoxidation of propanol (propionaldehyde can also be used instead):
ch3ch2ch2oh + o2 + nh3 ??? ch3ch2cn + 3 h2o
propionitrile is a byproduct of the electrodimerisation of acrylonitrile to adiponitrile.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chloroacetaldehyde,vinyl chloride,"== synthesis and reactions ==
the hydrate of chloroacetaldehyde is produced by the chlorination of aqueous vinyl chloride:
clch=ch2 + cl2 + h2o ??? clch2cho + 2 hcl
it can also be prepared from vinyl acetate.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
taurine,isethionic acid,"== synthesis and biosynthesis ==


=== synthesis ===
synthetic taurine is obtained from isethionic acid (2-hydroxyethanesulfonic acid), which in turn is obtained from the reaction of ethylene oxide with aqueous sodium bisulfite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
propargyl alcohol,acetylene,"== preparation ==
propargyl alcohol is produced by the copper-catalysed addition of formaldehyde to acetylene as a by-product of the industrial synthesis of but-2-yne-1,4-diol.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
allyl alcohol,propylene oxide,"today allyl alcohol is produced commercially by the dow and shell corporations through the hydrolysis of allyl chloride:
ch2chch2cl + naoh ??? ch2chch2oh + nacl
allyl alcohol can also be made by the rearrangement of propylene oxide, a reaction that is catalyzed by potassium alum at high temperature.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
guaiacol,catechol,"== preparationedit ==
in industry, guaiacol is produced by methylation of catechol, e.g., using potash and dimethyl sulfate:
c6h4(oh)2 + (ch3o)2so2 ??? c6h4(oh)(och3) + ho(ch3o)so2


=== laboratory methodsedit ===
guaiacol can be prepared by diverse route",guaiacol can be synthesized by the dimethylation of catechol followed by selective mono-demethylation.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sodium methoxide,sodium,sodium methoxide is a chemical compound with the formula ch3ona.,"== preparation and structure ==
sodium methoxide is prepared by carefully treating methanol with sodium:
2 na + 2 ch
3oh ??? 2 ch
3ona + h
2
the reaction is so exothermic that ignition is possible.","the resulting solution, which is colorless, is often used as a source of sodium methoxide, but the pure material can be isolated by evaporation followed by heating to remove residual methanol.","in the solid form, sodium methoxide is polymeric, with a sheet-like arrays of na+ centers, each bonded to four oxygen centers.","the structure, and hence its basicity, of sodium methoxide in solution depends on the solvent.","== applications ==


=== organic synthesis ===
sodium methoxide is a routinely used base in organic chemistry, applicable to the synthesis of numerous compounds, ranging from pharmaceuticals to agrichemicals.","=== industrial applications ===
sodium methoxide is used as an initiator of anionic addition polymerization with ethylene oxide, forming a polyether with high molecular weight.",this transformation is catalyzed by sodium methoxide.,"== safety ==
sodium methoxide is highly caustic, and the hydrolysis gives methanol, which is toxic and volatile.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-vinylpyridine,2-methylpyridine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m-phenylenediamine,m-dinitrobenzene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
phenol,cumene,"however, to operate economically, there must be demand for both phenol, and the acetone by-product.in 2010, worldwide demand for acetone was approximately 6.7 million tonnes, 83 percent of which was satisfied with acetone produced by the cumene process.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
thiophenol,benzene sulfonyl chloride,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
morpholine,diethylenegylcol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cyclohexene,benzene,"== production and uses ==
cyclohexene is produced by the partial hydrogenation of benzene, a process developed by the asahi chemical company.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
piperazine,ethanolamine,"== industrial production ==
piperazine is formed as a co-product in the ammoniation of 1,2-dichloroethane or ethanolamine.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1,3,5-trioxane",formaldehyde,"thus, cyclotrimerization of formaldehyde affords 1,3,5-trioxane:


== production ==
trioxane is produced by trimerization of formaldehyde using acid catalysts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
